233836217.62559998	2.6338333509331416e+23	0.005363072360314745	-4.286409452470781e+22	3.8648845052825655e-05	117178871144.81424
233839817.62559998	8.572679131769483e-08	2.1832820949820835e-07	-3.3741454874230246e-09	5.763927189288069e+29	5.763927189288069e+29
233843417.62559998	8.56933188620996e-08	2.18366794657835e-07	-3.372872211476791e-09	1.1527854378576138e+30	1.1527854378576138e+30
233847017.62559998	8.565980777956385e-08	2.184053573233612e-07	-3.3715970493870787e-09	1.7291781567864207e+30	1.7291781567864207e+30
233850617.62559998	8.562625809731764e-08	2.1844389748546983e-07	-3.370320003950925e-09	2.3055708757152277e+30	2.3055708757152277e+30
233854217.62559998	8.559266984517422e-08	2.1848241513519327e-07	-3.3690410779901505e-09	2.8819635946440347e+30	2.8819635946440347e+30
233857817.62559998	8.555904305537331e-08	2.1852091026324706e-07	-3.367760274327859e-09	3.4583563135728414e+30	3.4583563135728414e+30
233861417.62559998	8.552537776238098e-08	2.185593828593886e-07	-3.3664775957656134e-09	4.034749032501648e+30	4.034749032501648e+30
233865017.62559998	8.549167400264988e-08	2.1859783291180657e-07	-3.3651930450613324e-09	4.611141751430455e+30	4.611141751430455e+30
233868617.62559998	8.545793181434675e-08	2.186362604065512e-07	-3.3639066249086648e-09	5.187534470359261e+30	5.187534470359261e+30
233872217.62559998	8.542415123705219e-08	2.1867466532701175e-07	-3.3626183379175626e-09	5.763927189288068e+30	5.763927189288068e+30
233875817.62559998	8.539033231143722e-08	2.1871304765344965e-07	-3.3613281865967606e-09	6.340319908216875e+30	6.340319908216875e+30
233879417.62559998	8.535647507892224e-08	2.1875140736259468e-07	-3.3600361733384824e-09	6.916712627145682e+30	6.916712627145682e+30
233883017.62559998	8.532257958132333e-08	2.1878974442731117e-07	-3.3587423004054862e-09	7.493105346074488e+30	7.493105346074488e+30
233886617.62559998	8.528864586049242e-08	2.1882805881633997e-07	-3.3574465699208165e-09	8.069498065003295e+30	8.069498065003295e+30
233890217.62559998	8.525467395795802e-08	2.1886635049412445e-07	-3.3561489838601312e-09	8.645890783932102e+30	8.645890783932102e+30
233893817.62559998	8.522066391457156e-08	2.1890461942072e-07	-3.3548495440473346e-09	9.222283502860908e+30	9.222283502860908e+30
233897417.62559998	8.51866157701678e-08	2.1894286555179688e-07	-3.3535482521529507e-09	9.798676221789715e+30	9.798676221789715e+30
233901017.62559998	8.515252956324514e-08	2.1898108883873308e-07	-3.352245109695971e-09	1.0375068940718523e+31	1.0375068940718523e+31
233904617.62559998	8.511840533067321e-08	2.1901928922880237e-07	-3.3509401180490103e-09	1.095146165964733e+31	1.095146165964733e+31
233908217.62559998	8.50842431074349e-08	2.190574666654529e-07	-3.349633278446764e-09	1.1527854378576139e+31	1.1527854378576139e+31
233911817.62559998	8.50500429264095e-08	2.190956210886753e-07	-3.3483245919979926e-09	1.2104247097504945e+31	1.2104247097504945e+31
233915417.62559998	8.501580481820443e-08	2.19133752435454e-07	-3.3470140597002962e-09	1.2680639816433754e+31	1.2680639816433754e+31
233919017.62559998	8.498152881103886e-08	2.1917186064028993e-07	-3.345701682457728e-09	1.3257032535362563e+31	1.3257032535362563e+31
233922617.62559998	8.494721493068449e-08	2.192099456357863e-07	-3.344387461100771e-09	1.383342525429137e+31	1.383342525429137e+31
233926217.62559998	8.491286320046429e-08	2.1924800735328032e-07	-3.3430713964077913e-09	1.4409817973220177e+31	1.4409817973220177e+31
233929817.62559998	8.487847364130794e-08	2.192860457235029e-07	-3.341753489128181e-09	1.4986210692148986e+31	1.4986210692148986e+31
233933417.62559998	8.484404627186926e-08	2.1932406067727248e-07	-3.3404337400063957e-09	1.5562603411077792e+31	1.5562603411077792e+31
233937017.62559998	8.480958110869808e-08	2.193620521461771e-07	-3.3391121498065e-09	1.6138996130006601e+31	1.6138996130006601e+31
233940617.62559998	8.477507816646686e-08	2.194000200632599e-07	-3.3377887193365685e-09	1.6715388848935408e+31	1.6715388848935408e+31
233944217.62559998	8.474053745824611e-08	2.1943796436365415e-07	-3.3364634494718854e-09	1.7291781567864217e+31	1.7291781567864217e+31
233947817.62559998	8.47059589958223e-08	2.19475884985177e-07	-3.3351363411766565e-09	1.7868174286793024e+31	1.7868174286793024e+31
233951417.62559998	8.467134279005035e-08	2.1951378186886127e-07	-3.333807395523923e-09	1.844456700572183e+31	1.844456700572183e+31
233955017.62559998	8.46366888512334e-08	2.1955165495940878e-07	-3.332476613712404e-09	1.902095972465064e+31	1.902095972465064e+31
233958617.62559998	8.460199718951749e-08	2.1958950420554961e-07	-3.3311439970807503e-09	1.9597352443579448e+31	1.9597352443579448e+31
233962217.62559998	8.456726781529095e-08	2.196273295602974e-07	-3.329809547117786e-09	2.0173745162508255e+31	2.0173745162508255e+31
233965817.62559998	8.453250073957772e-08	2.19665130981097e-07	-3.3284732654695025e-09	2.0750137881437064e+31	2.0750137881437064e+31
233969417.62559998	8.449769597441376e-08	2.1970290842985874e-07	-3.3271351539416755e-09	2.132653060036587e+31	2.132653060036587e+31
233973017.62559998	8.446285353319717e-08	2.197406618728831e-07	-3.325795214498908e-09	2.1902923319294673e+31	2.1902923319294673e+31
233976617.62559998	8.442797343100312e-08	2.1977839128067814e-07	-3.3244534492595545e-09	2.247931603822348e+31	2.247931603822348e+31
233980217.62559998	8.439305568485697e-08	2.1981609662767886e-07	-3.323109860487049e-09	2.3055708757152286e+31	2.3055708757152286e+31
233983817.62559998	8.435810031395864e-08	2.198537778918742e-07	-3.32176445057797e-09	2.363210147608109e+31	2.363210147608109e+31
