233838366.97967997	-54204326408.72583	-141634156513.8124	1587078.4749605656	25259.342979293273	-9320.048527214964	-528.6470514967921
233841966.97967997	-54113379416.16255	-141667673762.62402	-316051.1453371048	25266.761952597917	-9300.6444167996	-528.6471385523957
233845566.97967997	-54022405737.41214	-141701121147.5662	-2219180.6097695827	25274.168638420528	-9281.235267083643	-528.6469649029399
233849166.97967997	-53931405416.71367	-141734498650.50522	-4122308.979779005	25281.563034407965	-9261.821082486698	-528.6465305362377
233852766.97967997	-53840378498.31502	-141767806253.32352	-6025435.316755772	25288.945138203562	-9242.401867427767	-528.6458354400324
233856366.97967997	-53749325026.47214	-141801043937.9194	-7928558.682055473	25296.314947447052	-9222.977626325082	-528.6448796019965
233859966.97967997	-53658245045.44971	-141834211686.2071	-9831678.136985064	25303.672459774603	-9203.548363596234	-528.643663009732
233863566.97967997	-53567138599.52084	-141867309480.11664	-11734792.742806673	25311.017672818794	-9184.114083658165	-528.6421856507711
233867166.97967997	-53476005732.96738	-141900337301.59412	-13637901.560735941	25318.350584208594	-9164.674790927173	-528.640447512575
233870766.97967997	-53384846490.07945	-141933295132.60132	-15541003.651945591	25325.67119156942	-9145.230489818883	-528.6384485825348
233874366.97967997	-53293660915.15575	-141966182955.11606	-17444098.077564955	25332.97949252307	-9125.781184748264	-528.6361888479712
233877966.97967997	-53202449052.50375	-141999000751.13202	-19347183.898671627	25340.275484687747	-9106.326880129709	-528.6336682961346
233881566.97967997	-53111210946.43944	-142031748502.6588	-21250260.176300764	25347.559165678067	-9086.867580376977	-528.6308869142048
233885166.97967997	-53019946641.287186	-142064426191.72186	-23153325.971441507	25354.830533105032	-9067.403289903186	-528.6278446892915
233888766.97967997	-52928656181.38017	-142097033800.36255	-25056380.345037222	25362.089584576046	-9047.934013120863	-528.6245416084337
233892366.97967997	-52837339611.06026	-142129571310.63806	-26959422.357979536	25369.33631769488	-9028.459754441972	-528.6209776586002
233895966.97967997	-52745996974.67769	-142162038704.62152	-28862451.071120262	25376.57073006173	-9008.980518277844	-528.6171528266896
233899566.97967997	-52654628316.59163	-142194435964.40195	-30765465.545256615	25383.792819273134	-8989.496309039272	-528.6130670995296
233903166.97967997	-52563233681.1696	-142226763072.08423	-32668464.84114623	25391.002582922047	-8970.007131136434	-528.608720463878
233906766.97967997	-52471813112.78818	-142259020009.78903	-34571448.01949072	25398.200018597774	-8950.512988979011	-528.604112906422
233910366.97967997	-52380366655.832214	-142291206759.65308	-36474414.140949726	25405.38512388602	-8931.013886976074	-528.5992444137787
233913966.97967997	-52288894354.695435	-142323323303.82877	-38377362.26613331	25412.55789636883	-8911.509829536168	-528.5941149724943
233917566.97967997	-52197396253.78058	-142355369624.48447	-40280291.45559788	25419.718333624638	-8892.000821067346	-528.588724569045
233921166.97967997	-52105872397.49858	-142387345703.8045	-42183200.7698586	25426.866433228235	-8872.486865977071	-528.5830731898366
233924766.97967997	-52014322830.26941	-142419251523.98886	-44086089.26937771	25434.002192750788	-8852.967968672318	-528.5771608212045
233928366.97967997	-51922747596.52179	-142451087067.2536	-45988956.014567375	25441.125609759783	-8833.444133559564	-528.5709874494138
233931966.97967997	-51831146740.69307	-142482852315.83044	-47891800.065793276	25448.236681819108	-8813.91536504475	-528.5645530606588
233935566.97967997	-51739520307.22957	-142514547251.96704	-49794620.483366966	25455.33540648897	-8794.381667533378	-528.557857641064
233939166.97967997	-51647868340.58617	-142546171857.92715	-51697416.327554464	25462.42178132595	-8774.843045430416	-528.5509011766834
233942766.97967997	-51556190885.22673	-142577726115.98996	-53600186.658569336	25469.495803882943	-8755.299503140377	-528.5436836535004
233946366.97967997	-51464487985.6239	-142609210008.4508	-55502930.53657222	25476.55747170921	-8735.751045067329	-528.536205057428
233949966.97967997	-51372759686.25908	-142640623517.62076	-57405647.02167821	25483.606782350344	-8716.197675614838	-528.5284653743092
233953566.97967997	-51281006031.622574	-142671966625.82687	-59308335.17394519	25490.643733348275	-8696.639399186073	-528.5204645899166
233957166.97967997	-51189227066.21347	-142703239315.41187	-61210994.05338669	25497.66832224126	-8677.076220183699	-528.5122026899519
233960766.97967997	-51097422834.53992	-142734441568.73438	-63113622.71995735	25504.68054656388	-8657.508143010029	-528.503679660047
233964366.97967997	-51005593381.11864	-142765573368.16904	-65016220.23356652	25511.680403847073	-8637.935172066864	-528.4948954857634
233967966.97967997	-50913738750.47565	-142796634696.10605	-66918785.65406418	25518.667891618057	-8618.357311755692	-528.4858501525921
233971566.97967997	-50821858987.14543	-142827625534.95175	-68821318.04125619	25525.64300740041	-8598.774566477496	-528.4765436459538
233975166.97967997	-50729954135.67172	-142858545867.128	-70723816.45488882	25532.60574871399	-8579.186940632928	-528.4669759511986
233978766.97967997	-50638024240.606995	-142889395675.0728	-72626279.95466161	25539.556113075	-8559.594438622202	-528.4571470536066
233982366.97967997	-50546069346.51289	-142920174941.23996	-74528707.60021377	25546.49409799593	-8539.997064845224	-528.4470569383877
233985966.97967997	-50454089497.95976	-142950883648.09888	-76431098.4511385	25553.41970098559	-8520.394823701443	-528.4367055906808
233989566.97967997	-50362084739.527115	-142981521778.135	-78333451.56697035	25560.332919549102	-8500.787719590011	-528.4260929955555
233993166.97967997	-50270055115.80333	-143012089313.84964	-80235766.00719142	25567.233751187865	-8481.175756909697	-528.4152191380099
233996766.97967997	-50178000671.385895	-143042586237.75974	-82138040.8312304	25574.122193399588	-8461.558940058918	-528.4040840029725
234000366.97967997	-50085921450.881195	-143073012532.39832	-84040275.09846091	25580.998243678292	-8441.937273435784	-528.3926875753012
